Provincia,Fecha,Banda ancha fija,Dial up,Total,latitud,longitud
Buenos Aires,2022-12-10,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-11,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-12,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-13,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-14,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-15,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-16,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-17,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-18,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-19,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-20,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-21,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-22,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-23,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-24,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-25,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-26,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-27,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-28,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-29,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-30,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-31,5,6,11,-36.6769415180527,-60.5588319815719
Capital Federal,2022-10-01,2,2,4,,
Capital Federal,2022-10-02,2,2,4,,
Capital Federal,2022-10-03,2,2,4,,
Capital Federal,2022-10-04,2,2,4,,
Capital Federal,2022-10-05,2,2,4,,
Capital Federal,2022-10-06,2,2,4,,
Capital Federal,2022-10-07,2,2,4,,
Capital Federal,2022-10-08,2,2,4,,
Capital Federal,2022-10-09,2,2,4,,
Capital Federal,2022-10-10,2,2,4,,
Capital Federal,2022-10-11,2,2,4,,
Capital Federal,2022-10-12,2,2,4,,
Capital Federal,2022-10-13,2,2,4,,
Capital Federal,2022-10-14,2,2,4,,
Capital Federal,2022-10-15,2,2,4,,
Capital Federal,2022-10-16,2,2,4,,
Capital Federal,2022-10-17,2,2,4,,
Capital Federal,2022-10-18,2,2,4,,
Capital Federal,2022-10-19,2,2,4,,
Capital Federal,2022-10-20,2,2,4,,
Capital Federal,2022-10-21,2,2,4,,
Capital Federal,2022-10-22,2,2,4,,
Capital Federal,2022-10-23,2,2,4,,
Capital Federal,2022-10-24,2,2,4,,
Capital Federal,2022-10-25,2,2,4,,
Capital Federal,2022-10-26,2,2,4,,
Capital Federal,2022-10-27,2,2,4,,
Capital Federal,2022-10-28,2,2,4,,
Capital Federal,2022-10-29,2,2,4,,
Capital Federal,2022-10-30,2,2,4,,
Capital Federal,2022-10-31,2,2,4,,
Capital Federal,2022-11-01,2,2,4,,
Capital Federal,2022-11-02,2,2,4,,
Capital Federal,2022-11-03,2,2,4,,
Capital Federal,2022-11-04,2,2,4,,
Capital Federal,2022-11-05,2,2,4,,
Capital Federal,2022-11-06,2,2,4,,
Capital Federal,2022-11-07,2,2,4,,
Capital Federal,2022-11-08,2,2,4,,
Capital Federal,2022-11-09,2,2,4,,
Capital Federal,2022-11-10,2,2,4,,
Capital Federal,2022-11-11,2,2,4,,
Capital Federal,2022-11-12,2,2,4,,
Capital Federal,2022-11-13,2,2,4,,
Capital Federal,2022-11-14,2,2,4,,
Capital Federal,2022-11-15,2,2,4,,
Capital Federal,2022-11-16,2,2,4,,
Capital Federal,2022-11-17,2,2,4,,
Capital Federal,2022-11-18,2,2,4,,
Capital Federal,2022-11-19,2,2,4,,
Capital Federal,2022-11-20,2,2,4,,
Capital Federal,2022-11-21,2,2,4,,
Capital Federal,2022-11-22,2,2,4,,
Capital Federal,2022-11-23,2,2,4,,
Capital Federal,2022-11-24,2,2,4,,
Capital Federal,2022-11-25,2,2,4,,
Capital Federal,2022-11-26,2,2,4,,
Capital Federal,2022-11-27,2,2,4,,
Capital Federal,2022-11-28,2,2,4,,
Capital Federal,2022-11-29,2,2,4,,
Capital Federal,2022-11-30,2,2,4,,
Capital Federal,2022-12-01,2,2,4,,
Capital Federal,2022-12-02,2,2,4,,
Capital Federal,2022-12-03,2,2,4,,
Capital Federal,2022-12-04,2,2,4,,
Capital Federal,2022-12-05,2,2,4,,
